Petal.Length,Petal.Width,Species
4.1,1.3,versicolor
6,2.5,virginica
5.1,1.9,virginica
5.9,2.1,virginica
5.6,1.8,virginica
5.8,2.2,virginica
6.6,2.1,virginica
4.5,1.7,virginica
6.3,1.8,virginica
5.8,1.8,virginica
6.1,2.5,virginica
5.1,2,virginica
5.3,1.9,virginica
5.5,2.1,virginica
5,2,virginica
5.1,2.4,virginica
5.3,2.3,virginica
5.5,1.8,virginica
6.7,2.2,virginica
6.9,2.3,virginica
5,1.5,virginica
5.7,2.3,virginica
4.9,2,virginica
6.7,2,virginica
4.9,1.8,virginica
5.7,2.1,virginica
6,1.8,virginica
4.8,1.8,virginica
4.9,1.8,virginica
5.6,2.1,virginica
5.8,1.6,virginica
6.1,1.9,virginica
6.4,2,virginica
5.6,2.2,virginica
5.1,1.5,virginica
5.6,1.4,virginica
6.1,2.3,virginica
5.6,2.4,virginica
5.5,1.8,virginica
4.8,1.8,virginica
5.4,2.1,virginica
5.6,2.4,virginica
5.1,2.3,virginica
5.1,1.9,virginica
5.9,2.3,virginica
5.7,2.5,virginica
5.2,2.3,virginica
5,1.9,virginica
5.2,2,virginica
5.4,2.3,virginica
5.1,1.8,virginica
